DATA,DESPESA,VALOR,CATEGORIA,SUBCATEGORIA,PAGAMENTO,BANCO,DONO
09/02/2026,Super C,$10.40,Variáveis,Mercado,Crédito,TD,Vini
10/02/2026,Bilhete transporte - OPUS (STM),$3.75,Variáveis,Transporte,Crédito,TD,Vini
10/02/2026,Impressão de currículos,$8.00,Eventual,Pessoal,Cash,Cash,Ana
10/02/2026,Bilhete transporte - OPUS (STM),$3.75,Variáveis,Transporte,Débito,RBC,Ana
11/02/2026,Bilhete transporte - OPUS (STM),$7.00,Variáveis,Transporte,Crédito,TD,Vini
11/02/2026,Provigo - NF Ville St-Laurent,$22.52,Variáveis,Mercado,Crédito,TD,Vini
11/02/2026,Bilhete transporte - OPUS (STM),$7.00,Variáveis,Transporte,Crédito,TD,Vini
11/02/2026,Pharmaprix - Ana,$10.99,Variáveis,Saúde,Crédito,TD,Vini
13/02/2026,Walmart,$64.56,Variáveis,Mercado,Crédito,TD,Vini
13/02/2026,Bilhete transporte - OPUS (STM),$21.75,Variáveis,Transporte,Crédito,TD,Vini
13/02/2026,Provigo - NF Ville St-Laurent,$26.28,Variáveis,Mercado,Crédito,TD,Vini
14/02/2026,Bilhete transporte - OPUS (STM),$11.25,Variáveis,Transporte,Crédito,TD,Vini
14/02/2026,Simons - Casaco da Ana,$23.27,Eventual,Pessoal,Crédito,TD,Vini
14/02/2026,Famous Player - Pipoca Cinema,$9.19,Eventual,Lazer,Crédito,TD,Vini
16/02/2026,Le Meme Prix Plus,$2.65,Eventual,Casa,Crédito,TD,Vini
16/02/2026,Walmart,$41.84,Variáveis,Mercado,Crédito,TD,Vini
17/02/2026,Provigo - NF Ville St-Laurent,$7.00,Variáveis,Mercado,Crédito,TD,Vini
18/02/2026,Provigo - NF Ville St-Laurent,$23.43,Variáveis,Mercado,Crédito,TD,Vini
19/02/2026,Provigo - NF Ville St-Laurent,$7.00,Variáveis,Mercado,Débito,RBC,Ana
19/02/2026,Bilhete transporte - OPUS (STM),$7.00,Variáveis,Transporte,Crédito,TD,Vini
20/02/2026,Bilhete transporte - OPUS (STM),$9.75,Variáveis,Transporte,Crédito,TD,Vini
20/02/2026,Bilhete transporte - OPUS (STM),$5.00,Variáveis,Transporte,Crédito,TD,Vini
20/02/2026,Bilhete transporte - OPUS (STM),$11.25,Variáveis,Transporte,Crédito,TD,Vini
20/02/2026,Bilhete transporte - OPUS (STM),$16.75,Variáveis,Transporte,Crédito,TD,Vini
21/02/2026,Provigo - NF Ville St-Laurent,$17.89,Variáveis,Mercado,Crédito,TD,Vini
21/02/2026,Gnochi - Drogheria Fine,$11.50,Eventual,Lazer,Crédito,TD,Vini
21/02/2026,Alphabet Cafe,$5.46,Eventual,Lazer,Crédito,TD,Vini
21/02/2026,Bilhete transporte - OPUS (STM),$3.75,Variáveis,Transporte,Crédito,TD,Vini
22/02/2026,Walmart,$94.51,Variáveis,Mercado,Crédito,TD,Vini
22/02/2026,Traduções de documentos - PhD Ana,$293.51,Eventual,Educação,Débito,RBC,Ana
22/02/2026,Metro Khalid AZ,$25.51,Variáveis,Mercado,Crédito,TD,Vini
22/02/2026,Bilhete transporte - OPUS (STM),$32.00,Variáveis,Transporte,Crédito,TD,Vini
23/02/2026,Le Meme Prix Plus,$9.50,Eventual,Casa,Crédito,TD,Vini
23/02/2026,Pharmaprix,$10.25,Variáveis,Alimentação,Crédito,TD,Vini
24/02/2026,Bilhete transporte - OPUS (STM),$9.75,Variáveis,Transporte,Crédito,TD,Vini
26/02/2026,Provigo - NF Ville St-Laurent,$33.59,Variáveis,Mercado,Crédito,TD,Vini
27/02/2026,Walmart,$226.57,Variáveis,Mercado,Crédito,RBC,Ana
27/02/2026,Assinatura - iCloud,$4.59,Fixas,Pessoal,Crédito,RBC,Ana
27/02/2026,Provigo - NF Ville St-Laurent,$7.00,Variáveis,Mercado,Crédito,TD,Vini
28/02/2026,Teste de Ingles - Duolingo,$185.94,Eventual,Educação,Crédito,RBC,Ana
28/02/2026,Applicação Concordia - Ana,$100.00,Eventual,Educação,Crédito,TD,Vini
